bin,land_area_pct,fire_pct,enrichment_ratio,variable
0-5,74.17787661173627,24.484812861703052,0.33008241783277353,slope
5-10,7.170167098337572,20.754800680939788,2.8946048810706038,slope
10-15,4.218542678702022,17.521260884593275,4.153391874651909,slope
15-20,3.4853710547293977,16.811116841060446,4.8233363326550185,slope
20-25,3.465447782160043,12.748952435875397,3.6788759309854226,slope
25-30,3.332834250148343,5.322383584989011,1.5969541793901436,slope
30+,4.149760524186348,2.356672710839031,0.5679057133787518,slope
<200,33.301585790943996,13.240064545106717,0.3975806025641941,elevation
200-500,35.28295928431763,34.22609640732176,0.9700460817790414,elevation
500-1000,17.916380674422584,35.613298657898,1.9877507240477161,elevation
1000-1500,2.108676091432922,10.878216396157606,5.158789650223361,elevation
1500-2000,1.4656261355574396,4.317978917483185,2.9461667015380253,elevation
2000-3000,1.825159242404142,1.461691591946279,0.800857020026869,elevation
3000+,8.099612780921289,0.26265348408645195,0.032427906270425,elevation
Flat,42.08898276672972,2.600103139088051,0.06177633594754794,aspect_class
N,6.940244361701846,10.70003345551064,1.5417372786693697,aspect_class
NE,7.053992068662951,10.644767169978023,1.5090415563786828,aspect_class
E,7.310951815721505,11.253435659138253,1.5392572599013459,aspect_class
SE,7.191892838268449,11.231809721321142,1.5617320744208085,aspect_class
S,7.512443633841492,11.89167808035607,1.5829307559510106,aspect_class
SW,7.58204290689439,13.416399115000083,1.7694965960691784,aspect_class
W,7.423786272552772,15.673999153446195,2.1113214440717556,aspect_class
NW,6.895663335626873,12.587774506161544,1.825462452774634,aspect_class
